@relation learnng-weka.filters.unsupervised.instance.Randomize-S4522-weka.filters.unsupervised.attribute.Remove-R1

@attribute NoRows numeric
@attribute NoColumn numeric
@attribute TotalCellNo numeric
@attribute CellEmpty numeric
@attribute CellNumeric numeric
@attribute CellSemiNumeric numeric
@attribute CellText numeric
@attribute ContainsAdverse numeric
@attribute containsAge numeric
@attribute containsBaseline numeric
@attribute containsCharacteristicCap numeric
@attribute containsDemographic numeric
@attribute ContainsExclusion numeric
@attribute ContainsInclusion numeric
@attribute containsN numeric
@attribute containsPatientsCap numeric
@attribute containsPatientsCell numeric
@attribute ContainsSideEffect numeric
@attribute ContainsSignOrSymptomAnnotation numeric
@attribute containsEglibility numeric
@attribute containsToxicity numeric
@attribute containsInclusionExclusionCell numeric
@attribute containsHaematologic numeric
@attribute containsTrialCap numeric
@attribute clas {AdverseEvent,InclusionExclusion,Other,BaselineCharacteristic}

@data
8,5,40,40,15,15,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other
21,4,84,3.571429,3.571429,64.285714,28.571429,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other
21,7,147,14.965986,68.027211,0,17.006803,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,AdverseEvent
16,3,48,16.666667,16.666667,29.166667,37.5,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,BaselineCharacteristic
23,5,115,15.652174,53.913043,0,30.434783,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,AdverseEvent
19,5,95,21.052632,11.578947,40,27.368421,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,BaselineCharacteristic
13,5,65,26.153846,0,49.230769,24.615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other
8,4,32,3.125,15.625,50,31.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other
21,4,84,14.285714,19.047619,38.095238,28.571429,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,BaselineCharacteristic
41,3,123,29.268293,4.878049,39.02439,26.829268,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,BaselineCharacteristic
5,7,35,2.857143,5.714286,51.428571,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other
25,4,100,1,0,58,41,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,BaselineCharacteristic
3,8,24,4.166667,41.666667,16.666667,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other
17,6,102,10.784314,18.627451,35.294118,35.294118,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,AdverseEvent
32,4,128,28.125,4.6875,25.78125,41.40625,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,AdverseEvent
21,5,105,0,72.380952,0,27.619048,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,AdverseEvent
12,4,48,10.416667,31.25,0,58.333333,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,AdverseEvent
38,3,114,12.280702,24.561404,28.070175,35.087719,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Other
15,6,90,2.222222,28.888889,32.222222,36.666667,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,BaselineCharacteristic
9,2,18,0,50,0,50,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,InclusionExclusion
24,4,96,20.833333,37.5,11.458333,30.208333,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,BaselineCharacteristic
10,4,40,0,0,45,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other
19,4,76,21.052632,47.368421,0,31.578947,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,AdverseEvent
12,4,48,37.5,0,37.5,25,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,BaselineCharacteristic
6,5,30,36.666667,0,30,33.333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other
13,3,39,5.128205,25.641026,30.769231,38.461538,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,BaselineCharacteristic
18,2,36,25,0,25,50,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,BaselineCharacteristic
27,2,54,18.518519,38.888889,0,42.592593,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,AdverseEvent
14,2,28,46.428571,0,0,53.571429,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,InclusionExclusion
10,2,20,35,0,0,65,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,InclusionExclusion
27,2,54,0,3.703704,42.592593,53.703704,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,BaselineCharacteristic
21,1,21,9.52381,0,0,90.47619,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,InclusionExclusion
1,2,2,0,0,0,100,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,InclusionExclusion
41,4,164,13.414634,0.609756,39.634146,46.341463,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,BaselineCharacteristic
